Petrensib	/places/123109/petrensibus
Hygre	/places/828272/hygreis	/places/825272/hygreis
Genesi	/places/570257/genesion
Subsan	/places/311142/subsana
Vacc	/places/338297/vaccis
Phamer	/places/759606/phameris
Wark Survey	/places/300354623/warka-survey
Senkyrk	/places/756642/senkyrkis
Bitnik	/places/944509/bitnik
Verrug	/places/438872/verrugo
Lykai M.	/places/570441/Lykaion-M
Therapei	/places/521113/therapeia
Anagonkl	/places/221980/anagonkli
Caledoni	/places/89132/caledonia
Cydar	/places/49954/cydara
Col. Cluni Sulpici	/places/246345/col-clunia-sulpicia
Birs Nimrūd	/places/893964/birs-nimrud-1
Vieux-la-Romain	/places/69468/vieux-la-romaine
S. Cornelia, Mon.	/places/433084/S-Cornelia-Mon
Ergiti	/places/442578/ergitium
Novioreg	/places/138496/novioregum
Tigrā	/places/912964/tigra
Keph	/places/874664/kephas	/places/874664/kepha
Petrensi Stagn	/places/465973/petrensium-stagnum
Pmoun Pisistrato	/places/778421/pmoun-pisistratou
Trotil	/places/466010/trotilon
Panhorm	/places/462410/panhormus	/places/648731/panhormus
Themisto	/places/741625/themistou
Merou	/places/240962/meroua
Intaran	/places/177540/intaranum
Alman	/places/494532/almana
Di pol megalē	/places/786017/dios-polis-megale
Thabor M.	/places/678419/Thabor-M
Ustuv	/places/952110/ustuva
Bress	/places/874568/bressos
S. Paul	/places/423052/s-paulus
Thambol	/places/727245/thambol
Crater	/places/433059/crater	/places/452315/crater
Gischal	/places/678165/gischala
Gangan Akr	/places/79474/ganganon-akron
Kalandadiou	/places/50657/kalandadioua
Kotorodz	/places/874560/kotorodz
Telmessi Pr.	/places/639135/Telmessias-Pr
Kaili	/places/89213/kailios
Maurensio	/places/275674/maurensioi
Hiltens Plebs	/places/321667/hiltensis-plebs
Gandarit	/places/59818/gandaritis
Optatianai, Mon.	/places/511346/Optatianai-Mon
Kōnstantinoupol	/places/77402394/konstantinoupolis
Platamod Pr.	/places/570616/Platamodes-Pr
Castr Divionens	/places/177489/castrum-divionense
Skorda	/places/60690/skordai
Massabaten	/places/903079/massabatene
Snē	/places/786059/sne
Rutuni	/places/79663/rutunium
Anagombro	/places/718008/anagombroi
Mīnāʾ al-Baiḍāʾ	/places/668295/mina2be-al-baida2be
Saminth	/places/573506/saminthos
Akyt	/places/589873/akytos
Gerasim	/places/687908/gerasimos
Kaball	/places/857176/kaballa
Ebism	/places/39263/ebisma
Platan	/places/678336/platanos	/places/678336/platane
Platam	/places/465978/platamos
Orthopol	/places/494598/orthopolis
